rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sd_m,ZTD_sigma_m,PWV_mm,ref_gps,ref_gal,n_sd_obs,n_sats,sats_used
225134.992,2.30962610368594,-11.2496610510791,-8.94003494739317,-8.94003494739317,5.82653625623741,-1826.39589091469,G28,,6,7,"G10,G25,G26,G28,G32,G02,G31"
225135.992,2.30962610368594,-11.3643291614073,-9.05470305772132,-9.16973640581981,4.1232575101636,-1845.01239540948,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225136.992,2.30962610368594,-11.2898468725286,-8.98022076884266,-8.83034413558037,3.37004541747274,-1832.92010696308,G28,,6,7,"G10,G25,G26,G28,G32,G02,G31"
225137.992,2.30962610368594,-11.1934288380112,-8.88380273432526,-8.58988227014062,2.92435422525576,-1817.26652404595,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225138.992,2.30962610368594,-11.1834350978623,-8.87380899417635,-8.83354376228049,2.61750961182034,-1815.64402841164,G28,,6,7,"G10,G25,G26,G28,G32,G02,G31"
225139.992,2.30962610368594,-11.1451235251364,-8.83549742145047,-8.64571880426203,2.38758382793386,-1809.42409887924,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225140.992,2.30962610368594,-11.1124741242882,-8.80284802060225,-8.60662756248734,2.21073394522466,-1804.12342970537,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225141.992,2.30962610368594,-11.0848391652307,-8.77521306154474,-8.58259535298479,2.0673976026887,-1799.63686113774,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225142.992,2.30962610368594,-11.0514843492692,-8.74185824558324,-8.48023283596105,1.94700707651544,-1794.22166697876,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225143.992,2.30962610368594,-11.0267489292378,-8.7171228255519,-8.49472578556248,1.84700108053727,-1790.20584203078,G28,,6,7,"G10,G25,G26,G28,G32,G02,G31"
225144.992,2.30962610368594,-11.0055968870797,-8.69597078339374,-8.48257551576194,1.76175019982273,-1786.77178275497,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225145.992,2.30962610368594,-10.996179662394,-8.68655355870807,-8.58023716975164,1.6885530078536,-1785.24288509382,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225146.992,2.30962610368594,-10.9956563456686,-8.68603024198263,-8.67950819405329,1.62463188588048,-1785.1579239992,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225147.992,2.30962610368594,-10.9912000135263,-8.68157390984035,-8.62221728574287,1.5668779077629,-1784.43443316012,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225148.992,2.30962610368594,-10.9964541807785,-8.68682807709257,-8.76253965101879,1.51518502256545,-1785.28745348101,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225149.992,2.30962610368594,-11.0138042642467,-8.70417816056077,-8.97562507573517,1.46896622316936,-1788.10426022829,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225150.992,2.30962610368594,-11.0208608242384,-8.71123472055241,-8.82957601836313,1.42703603606795,-1789.24990116042,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225151.992,2.30962610368594,-11.0128287109133,-8.70320260722731,-8.56111201453773,1.3883355285344,-1787.94587798091,G28,,6,7,"G32,G28,G26,G10,G25,G02,G31"
225152.992,2.30962610368594,-11.0053998770773,-8.69577377339136,-8.55738468590271,1.35250829472541,-1786.73979794608,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225153.992,2.30962610368594,-10.9934292157971,-8.68380311211111,-8.45169262754722,1.31892539177826,-1784.79634680791,G28,,6,7,"G32,G10,G25,G26,G28,G02,G31"
225154.992,2.30962610368594,-10.9654666177008,-8.65584051401486,-8.07712870351596,1.28817123066876,-1780.25658565151,G28,,6,7,"G25,G26,G28,G32,G10,G02,G31"
225155.992,2.30962610368594,-10.9474076707999,-8.63778156711396,-8.25150377794935,1.25907585712163,-1777.32469408036,G28,,6,7,"G32,G28,G10,G25,G26,G02,G31"
225156.992,2.30962610368594,-10.9309253144568,-8.62129921077084,-8.25802686963398,1.23144925309342,-1774.6487638669,G28,,6,7,"G10,G25,G26,G28,G32,G02,G31"
225157.992,2.30962610368594,-10.9203770432437,-8.61075093955779,-8.36974939536342,1.20535359250628,-1772.93623945285,G28,,6,7,"G25,G26,G28,G32,G10,G02,G31"
225158.992,2.30962610368594,-10.9022725937531,-8.59264649006718,-8.16554073215272,1.18059152338292,-1769.99696048198,G28,,6,7,"G32,G10,G25,G28,G26,G02,G31"
225159.992,2.30962610368594,-10.9039015702764,-8.59427546659046,-8.63437015016099,1.15731583507783,-1770.26142676367,G28,,6,7,"G10,G25,G26,G32,G28,G02,G31"
