nBlocks,blockId,jammingState,antStatus,antPower,postStatus,noisePerMS,agcCnt,cwSuppression,ofsI,magI,ofsQ,magQ,rfBlockGnssBand
2,0,0,2,1,16908288,0,0,6,13,169,7,164,0
2,1,0,2,1,16908288,0,0,2,11,168,5,159,0
2,0,0,2,1,16908288,0,0,11,14,168,5,160,0
2,1,0,2,1,16908288,0,0,3,12,166,4,156,0
2,0,0,2,1,16908288,0,0,11,12,169,6,163,0
2,1,0,2,1,16908288,0,0,2,11,169,4,161,0
2,0,0,2,1,16908288,0,0,13,13,168,4,161,0
2,1,0,2,1,16908288,0,0,3,11,166,4,160,0
2,0,0,2,1,16908288,0,0,13,10,166,8,160,0
2,1,0,2,1,16908288,0,0,2,14,164,10,157,0
2,0,0,2,1,16908288,0,0,7,14,169,6,160,0
2,1,0,2,1,16908288,0,0,2,14,168,5,158,0
2,0,0,2,1,16908288,0,0,11,11,169,3,162,0
2,1,0,2,1,16908288,0,0,3,11,169,4,158,0
2,0,0,2,1,16908288,0,0,13,12,169,0,161,0
2,1,0,2,1,16908288,0,0,2,10,170,8,159,0
2,0,0,2,1,16908288,0,0,7,14,168,2,161,0
2,1,0,2,1,16908288,0,0,2,12,166,6,160,0
2,0,0,2,1,16908288,0,0,7,12,171,4,163,0
2,1,0,2,1,16908288,0,0,3,14,166,6,159,0
