iTOW,year,month,day,hour,min,sec,validDate,validTime,fullyResolved,tAcc,nano,fixType,psmState,headVehValid,carrSoln,confirmedAvai,confirmedDate,confirmedTime,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velD,gSpeed,headMot,sAcc,headAcc,pDOP,invalidL1h,lastCorrectionAge,authTime,nmaFixStatus,headVeh,magDec,magAcc,validMag,gnssFixOk,diffSolnOk,velE
225521000,2025,9,30,14,38,23,True,True,True,39,90619,3,0,False,0,True,True,True,10,-810795939,292278604,-9115,21316,6970,6881,1,-17,13,35870784,377,18000000,220,False,0,False,False,0,0,0,True,True,False,-13
225522000,2025,9,30,14,38,24,True,True,True,39,90044,3,0,False,0,True,True,True,10,-810795938,292278599,-9136,21295,6973,6882,-25,-36,35,35870784,389,18000000,220,False,0,False,False,0,0,0,True,True,False,-24
225523000,2025,9,30,14,38,25,True,True,True,39,89469,3,0,False,0,True,True,True,10,-810795936,292278596,-9164,21267,6978,6884,-12,-22,12,35870784,342,18000000,220,False,0,False,False,0,0,0,True,True,False,1
225524000,2025,9,30,14,38,26,True,True,True,39,88895,3,0,False,0,True,True,True,10,-810795934,292278594,-9184,21248,6983,6885,12,-15,15,35870784,331,18000000,220,False,0,False,False,0,0,0,True,True,False,-9
225525000,2025,9,30,14,38,27,True,True,True,39,88320,3,0,False,0,True,True,True,9,-810795931,292278593,-9234,21197,6990,6890,5,4,16,35870784,335,18000000,283,False,0,False,False,0,0,0,True,True,False,15
225526000,2025,9,30,14,38,28,True,True,True,39,87745,3,0,False,0,True,True,True,9,-810795927,292278592,-9297,21135,6995,6894,8,14,14,35870784,400,18000000,283,False,0,False,False,0,0,0,True,True,False,12
225527000,2025,9,30,14,38,29,True,True,True,39,87171,3,0,False,0,True,True,True,9,-810795926,292278591,-9304,21128,6996,6892,-1,4,4,35870784,286,18000000,283,False,0,False,False,0,0,0,True,True,False,4
225528000,2025,9,30,14,38,30,True,True,True,39,86596,3,0,False,0,True,True,True,9,-810795923,292278589,-9360,21072,6997,6888,19,-17,20,35870784,294,18000000,283,False,0,False,False,0,0,0,True,True,False,-4
225529000,2025,9,30,14,38,31,True,True,True,39,86021,3,0,False,0,True,True,True,9,-810795918,292278586,-9444,20988,6996,6883,9,0,9,35870784,291,18000000,283,False,0,False,False,0,0,0,True,True,False,0
225532000,2025,9,30,14,38,34,True,True,True,39,84298,3,0,False,0,True,True,True,9,-810795908,292278579,-9589,20842,6991,6864,-24,17,28,35870784,284,18000000,283,False,0,False,False,0,0,0,True,True,False,15
225533000,2025,9,30,14,38,35,True,True,True,39,83723,3,0,False,0,True,True,True,9,-810795906,292278577,-9624,20807,6987,6857,-4,30,15,35870784,340,18000000,283,False,0,False,False,0,0,0,True,True,False,15
225534000,2025,9,30,14,38,36,True,True,True,39,83148,3,0,False,0,True,True,True,9,-810795904,292278575,-9650,20782,6983,6849,-9,13,10,35870784,291,18000000,283,False,0,False,False,0,0,0,True,True,False,3
225535000,2025,9,30,14,38,37,True,True,True,39,82574,3,0,False,0,True,True,True,9,-810795901,292278572,-9697,20734,6975,6841,2,0,4,35870784,281,18000000,283,False,0,False,False,0,0,0,True,True,False,3
225537000,2025,9,30,14,38,39,True,True,True,39,81424,3,0,False,0,True,True,True,9,-810795898,292278571,-9750,20681,6961,6824,17,-18,21,35870784,290,18000000,283,False,0,False,False,0,0,0,True,True,False,-13
225538000,2025,9,30,14,38,40,True,True,True,39,80850,3,0,False,0,True,True,True,9,-810795898,292278571,-9747,20684,6953,6820,11,-24,15,35870784,318,18000000,283,False,0,False,False,0,0,0,True,True,False,-9
225539000,2025,9,30,14,38,41,True,True,True,39,80275,3,0,False,0,True,True,True,9,-810795894,292278570,-9786,20645,6945,6816,13,-28,13,35870784,297,18000000,283,False,0,False,False,0,0,0,True,True,False,-1
225540000,2025,9,30,14,38,42,True,True,True,39,79701,3,0,False,0,True,True,True,9,-810795892,292278569,-9801,20631,6935,6810,5,-28,15,35870784,341,18000000,283,False,0,False,False,0,0,0,True,True,False,-14
225541000,2025,9,30,14,38,43,True,True,True,38,79126,3,0,False,0,True,True,True,9,-810795891,292278568,-9829,20602,6925,6804,10,-40,30,35870784,335,18000000,283,False,0,False,False,0,0,0,True,True,False,-29
225542000,2025,9,30,14,38,44,True,True,True,38,78552,3,0,False,0,True,True,True,9,-810795888,292278567,-9867,20565,6914,6798,7,-7,9,35870784,241,18000000,283,False,0,False,False,0,0,0,True,True,False,5
225543000,2025,9,30,14,38,45,True,True,True,38,77977,3,0,False,0,True,True,True,9,-810795886,292278566,-9912,20519,6906,6791,-2,13,3,35870784,286,18000000,283,False,0,False,False,0,0,0,True,True,False,1
225544000,2025,9,30,14,38,46,True,True,True,38,77403,3,0,False,0,True,True,True,9,-810795884,292278566,-9952,20480,6899,6785,26,-8,31,35870784,258,18000000,284,False,0,False,False,0,0,0,True,True,False,-15
225545000,2025,9,30,14,38,47,True,True,True,38,76828,3,0,False,0,True,True,True,9,-810795883,292278564,-9984,20448,6890,6781,-9,-3,12,35870784,308,18000000,284,False,0,False,False,0,0,0,True,True,False,-8
225547000,2025,9,30,14,38,49,True,True,True,38,75680,3,0,False,0,True,True,True,9,-810795877,292278560,-10071,20360,6876,6771,17,-28,18,35870784,303,18000000,284,False,0,False,False,0,0,0,True,True,False,-8
225548000,2025,9,30,14,38,50,True,True,True,38,75106,3,0,False,0,True,True,True,9,-810795872,292278559,-10159,20272,6871,6764,22,-6,22,35870784,272,18000000,284,False,0,False,False,0,0,0,True,True,False,0
225549000,2025,9,30,14,38,51,True,True,True,38,74532,3,0,False,0,True,True,True,9,-810795870,292278560,-10214,20217,6867,6758,39,15,39,35870784,312,18000000,284,False,0,False,False,0,0,0,True,True,False,3
225550000,2025,9,30,14,38,52,True,True,True,38,73957,3,0,False,0,True,True,True,9,-810795867,292278560,-10268,20163,6861,6752,9,21,13,35870784,357,18000000,284,False,0,False,False,0,0,0,True,True,False,10
