gnssId,svId,freqId,numWords,chn,dwrd_00,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08,dwrd_09
0,24,0,10,4,583094790,2455399012,289366808,246530730,2815516974,3214180864,1013387913,2220976227,55680016.0,235937684.0
2,7,0,8,6,312295251,539551594,4025544820,501334016,2498984195,4279043690,2863294171,3888889856,,
0,18,0,10,66,2336875670,2574542069,4185012116,2152755201,3994025602,3489431520,553844479,1140849923,1375735473.0,1982379169.0
0,23,0,10,67,2338186390,2573266293,4103098115,2150748161,3994025091,134078447,553844479,1140849923,1375733043.0,246986209.0
0,23,0,10,3,583094790,2455407448,1344902,3010077731,1073498650,2336672535,165602086,3135451265,3219801235.0,331464656.0
2,26,0,8,12,9786709,1431655765,1431655765,1430831104,2621292544,42,2863291139,407617536,,
2,26,0,8,76,209070194,466135413,2222398611,123210191,529598728,975262861,3284227505,1915486208,,
2,7,0,8,6,18747036,494383861,2293621,2852438016,3037577286,3016010090,2863296747,4123705344,,
2,26,0,8,12,52281328,4249298113,3590484935,3829547008,2182791168,42,2863296986,2030813184,,
0,18,0,10,2,583094790,2455431568,354680947,485369035,138872106,2188030493,2606250900,286137805,2147488823.0,776412039.0
2,26,0,8,12,117440511,4261412865,305156745,3796287488,2719121408,42,2863298846,30130176,,
2,33,0,8,8,117440511,4261412865,305156745,3796287488,2719123555,4065444906,2863298340,1045151744,,
