iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
384699000,384699,340600,1377,18,True,True,True,9
384709000,384709,345188,1377,18,True,True,True,9
384719000,384719,349776,1377,18,True,True,True,9
384729000,384729,354367,1377,18,True,True,True,9
384739000,384739,358961,1377,18,True,True,True,9
384749000,384749,363555,1377,18,True,True,True,10
384759000,384759,368153,1377,18,True,True,True,10
384769000,384769,372756,1377,18,True,True,True,10
384779000,384779,377357,1377,18,True,True,True,10
384789000,384789,381963,1377,18,True,True,True,10
384799000,384799,386570,1377,18,True,True,True,10
384809000,384809,391180,1377,18,True,True,True,10
384819000,384819,395791,1377,18,True,True,True,10
384829000,384829,400403,1377,18,True,True,True,10
384839000,384839,405016,1377,18,True,True,True,10
384849000,384849,409631,1377,18,True,True,True,10
384859000,384859,414248,1377,18,True,True,True,10
384869000,384869,418870,1377,18,True,True,True,10
384879000,384879,423491,1377,18,True,True,True,9
384889000,384889,428112,1377,18,True,True,True,9
384899000,384899,432735,1377,18,True,True,True,9
384909000,384909,437359,1377,18,True,True,True,9
384919000,384919,441983,1377,18,True,True,True,9
384929000,384929,446609,1377,18,True,True,True,9
384939000,384939,451239,1377,18,True,True,True,9
384949000,384949,455870,1377,18,True,True,True,9
384959000,384959,460501,1377,18,True,True,True,9
384969000,384969,465133,1377,18,True,True,True,9
384979000,384979,469766,1377,18,True,True,True,9
384989000,384989,474399,1377,18,True,True,True,9
384999000,384999,479033,1377,18,True,True,True,8
385009000,385009,483669,1377,18,True,True,True,8
385019000,385019,488307,1377,18,True,True,True,8
385029000,385029,492945,1377,18,True,True,True,8
385039000,385039,497584,1377,18,True,True,True,8
385049000,385049,-497774,1377,18,True,True,True,8
385059000,385059,-493136,1377,18,True,True,True,8
385069000,385069,-488493,1377,18,True,True,True,8
385079000,385079,-483849,1377,18,True,True,True,9
385089000,385089,-479209,1377,18,True,True,True,8
385099000,385099,-474566,1377,18,True,True,True,8
385109000,385109,-469924,1377,18,True,True,True,8
385119000,385119,-465278,1377,18,True,True,True,8
385129000,385129,-460630,1377,18,True,True,True,8
385139000,385139,-455978,1377,18,True,True,True,8
385149000,385149,-451327,1377,18,True,True,True,7
385159000,385159,-446673,1377,18,True,True,True,8
385169000,385169,-442018,1377,18,True,True,True,8
385179000,385179,-437364,1377,18,True,True,True,8
385189000,385189,-432709,1377,18,True,True,True,7
385199000,385199,-428052,1377,18,True,True,True,7
385209000,385209,-423393,1377,18,True,True,True,7
385219000,385219,-418733,1377,18,True,True,True,7
385229000,385229,-414071,1377,18,True,True,True,7
385239000,385239,-409410,1377,18,True,True,True,7
385249000,385249,-404747,1377,18,True,True,True,7
385259000,385259,-400081,1377,18,True,True,True,8
385269000,385269,-395416,1377,18,True,True,True,9
385279000,385279,-390750,1377,18,True,True,True,9
385289000,385289,-386081,1377,18,True,True,True,9
385299000,385299,-381412,1377,18,True,True,True,9
385309000,385309,-376742,1377,18,True,True,True,9
385319000,385319,-372071,1377,18,True,True,True,9
385329000,385329,-367399,1377,18,True,True,True,10
385339000,385339,-362728,1377,18,True,True,True,10
385349000,385349,-358055,1377,18,True,True,True,10
385359000,385359,-353380,1377,18,True,True,True,10
385369000,385369,-348705,1377,18,True,True,True,10
385379000,385379,-344030,1377,18,True,True,True,11
385389000,385389,-339353,1377,18,True,True,True,11
385399000,385399,-334678,1377,18,True,True,True,11
385409000,385409,-330000,1377,18,True,True,True,11
385419000,385419,-325320,1377,18,True,True,True,11
385429000,385429,-320641,1377,18,True,True,True,11
385439000,385439,-315961,1377,18,True,True,True,11
385449000,385449,-311278,1377,18,True,True,True,11
385459000,385459,-306597,1377,18,True,True,True,11
385469000,385469,-301915,1377,18,True,True,True,11
385479000,385479,-297229,1377,18,True,True,True,11
385489000,385489,-292540,1377,18,True,True,True,10
385499000,385499,-287850,1377,18,True,True,True,10
385509000,385509,-283160,1377,18,True,True,True,10
385519000,385519,-278470,1377,18,True,True,True,10
385529000,385529,-273780,1377,18,True,True,True,10
385539000,385539,-269088,1377,18,True,True,True,10
385549000,385549,-264395,1377,18,True,True,True,10
385559000,385559,-259703,1377,18,True,True,True,10
385569000,385569,-255011,1377,18,True,True,True,10
385579000,385579,-250317,1377,18,True,True,True,10
385589000,385589,-245623,1377,18,True,True,True,10
385599000,385599,-240930,1377,18,True,True,True,9
385609000,385609,-236236,1377,18,True,True,True,9
385619000,385619,-231555,1377,18,True,True,True,7
385629000,385629,-226867,1377,18,True,True,True,7
385639000,385639,-222169,1377,18,True,True,True,7
385649000,385649,-217468,1377,18,True,True,True,7
385659000,385659,-212768,1377,18,True,True,True,8
385669000,385669,-208066,1377,18,True,True,True,8
385679000,385679,-203363,1377,18,True,True,True,9
385689000,385689,-198656,1377,18,True,True,True,9
385699000,385699,-193952,1377,18,True,True,True,9
385709000,385709,-189246,1377,18,True,True,True,9
385719000,385719,-184540,1377,18,True,True,True,9
385729000,385729,-179832,1377,18,True,True,True,9
385739000,385739,-175124,1377,18,True,True,True,9
385749000,385749,-170413,1377,18,True,True,True,9
385759000,385759,-165702,1377,18,True,True,True,9
385769000,385769,-160991,1377,18,True,True,True,9
385779000,385779,-156280,1377,18,True,True,True,10
385789000,385789,-151571,1377,18,True,True,True,10
385799000,385799,-146861,1377,18,True,True,True,10
385809000,385809,-142150,1377,18,True,True,True,10
385819000,385819,-137436,1377,18,True,True,True,10
385829000,385829,-132722,1377,18,True,True,True,10
385839000,385839,-128009,1377,18,True,True,True,10
385849000,385849,-123293,1377,18,True,True,True,10
385859000,385859,-118576,1377,18,True,True,True,10
385869000,385869,-113857,1377,18,True,True,True,10
385879000,385879,-109143,1377,18,True,True,True,11
385889000,385889,-104429,1377,18,True,True,True,11
385899000,385899,-99714,1377,18,True,True,True,11
385909000,385909,-94997,1377,18,True,True,True,11
385919000,385919,-90279,1377,18,True,True,True,10
385929000,385929,-85561,1377,18,True,True,True,10
385939000,385939,-80841,1377,18,True,True,True,10
385949000,385949,-76120,1377,18,True,True,True,9
385959000,385959,-71401,1377,18,True,True,True,9
385969000,385969,-66679,1377,18,True,True,True,9
385979000,385979,-61957,1377,18,True,True,True,9
385989000,385989,-57235,1377,18,True,True,True,9
385999000,385999,-52514,1377,18,True,True,True,9
