iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
384699000,340608,2401,18,True,True,True,8
384709000,345195,2401,18,True,True,True,8
384719000,349783,2401,18,True,True,True,8
384729000,354374,2401,18,True,True,True,8
384739000,358968,2401,18,True,True,True,9
384749000,363562,2401,18,True,True,True,9
384759000,368160,2401,18,True,True,True,9
384769000,372763,2401,18,True,True,True,9
384779000,377364,2401,18,True,True,True,9
384789000,381970,2401,18,True,True,True,9
384799000,386578,2401,18,True,True,True,9
384809000,391187,2401,18,True,True,True,9
384819000,395798,2401,18,True,True,True,9
384829000,400410,2401,18,True,True,True,9
384839000,405023,2401,18,True,True,True,9
384849000,409638,2401,18,True,True,True,9
384859000,414256,2401,18,True,True,True,9
384869000,418877,2401,18,True,True,True,9
384879000,423498,2401,18,True,True,True,9
384889000,428119,2401,18,True,True,True,8
384899000,432742,2401,18,True,True,True,8
384909000,437366,2401,18,True,True,True,8
384919000,441990,2401,18,True,True,True,8
384929000,446616,2401,18,True,True,True,8
384939000,451246,2401,18,True,True,True,8
384949000,455877,2401,18,True,True,True,8
384959000,460508,2401,18,True,True,True,8
384969000,465140,2401,18,True,True,True,8
384979000,469773,2401,18,True,True,True,8
384989000,474406,2401,18,True,True,True,8
384999000,479040,2401,18,True,True,True,7
385009000,483676,2401,18,True,True,True,7
385019000,488314,2401,18,True,True,True,7
385029000,492952,2401,18,True,True,True,7
385039000,497591,2401,18,True,True,True,7
385049000,-497767,2401,18,True,True,True,8
385059000,-493129,2401,18,True,True,True,7
385069000,-488486,2401,18,True,True,True,8
385079000,-483843,2401,18,True,True,True,8
385089000,-479202,2401,18,True,True,True,7
385099000,-474560,2401,18,True,True,True,7
385109000,-469918,2401,18,True,True,True,7
385119000,-465272,2401,18,True,True,True,7
385129000,-460623,2401,18,True,True,True,7
385139000,-455972,2401,18,True,True,True,7
385149000,-451321,2401,18,True,True,True,7
385159000,-446667,2401,18,True,True,True,7
385169000,-442012,2401,18,True,True,True,8
385179000,-437358,2401,18,True,True,True,7
385189000,-432703,2401,18,True,True,True,6
385199000,-428046,2401,18,True,True,True,6
385209000,-423387,2401,18,True,True,True,6
385219000,-418727,2401,18,True,True,True,6
385229000,-414065,2401,18,True,True,True,6
385239000,-409404,2401,18,True,True,True,6
385249000,-404741,2401,18,True,True,True,7
385259000,-400075,2401,18,True,True,True,7
385269000,-395410,2401,18,True,True,True,8
385279000,-390744,2401,18,True,True,True,8
385289000,-386075,2401,18,True,True,True,8
385299000,-381406,2401,18,True,True,True,9
385309000,-376736,2401,18,True,True,True,9
385319000,-372065,2401,18,True,True,True,9
385329000,-367393,2401,18,True,True,True,9
385339000,-362721,2401,18,True,True,True,9
385349000,-358048,2401,18,True,True,True,9
385359000,-353374,2401,18,True,True,True,10
385369000,-348699,2401,18,True,True,True,10
385379000,-344023,2401,18,True,True,True,10
385389000,-339347,2401,18,True,True,True,10
385399000,-334671,2401,18,True,True,True,10
385409000,-329994,2401,18,True,True,True,10
385419000,-325314,2401,18,True,True,True,10
385429000,-320635,2401,18,True,True,True,11
385439000,-315954,2401,18,True,True,True,10
385449000,-311272,2401,18,True,True,True,10
385459000,-306591,2401,18,True,True,True,10
385469000,-301908,2401,18,True,True,True,10
385479000,-297222,2401,18,True,True,True,10
385489000,-292533,2401,18,True,True,True,10
385499000,-287843,2401,18,True,True,True,10
385509000,-283153,2401,18,True,True,True,9
385519000,-278463,2401,18,True,True,True,9
385529000,-273773,2401,18,True,True,True,9
385539000,-269081,2401,18,True,True,True,9
385549000,-264388,2401,18,True,True,True,9
385559000,-259696,2401,18,True,True,True,9
385569000,-255004,2401,18,True,True,True,9
385579000,-250310,2401,18,True,True,True,10
385589000,-245616,2401,18,True,True,True,9
385599000,-240923,2401,18,True,True,True,9
385609000,-236229,2401,18,True,True,True,9
385619000,-231548,2401,18,True,True,True,7
385629000,-226860,2401,18,True,True,True,6
385639000,-222162,2401,18,True,True,True,7
385649000,-217461,2401,18,True,True,True,7
385659000,-212760,2401,18,True,True,True,7
385669000,-208059,2401,18,True,True,True,8
385679000,-203355,2401,18,True,True,True,8
385689000,-198649,2401,18,True,True,True,8
385699000,-193944,2401,18,True,True,True,9
385709000,-189239,2401,18,True,True,True,9
385719000,-184533,2401,18,True,True,True,9
385729000,-179825,2401,18,True,True,True,9
385739000,-175117,2401,18,True,True,True,9
385749000,-170406,2401,18,True,True,True,9
385759000,-165695,2401,18,True,True,True,9
385769000,-160984,2401,18,True,True,True,9
385779000,-156273,2401,18,True,True,True,9
385789000,-151563,2401,18,True,True,True,9
385799000,-146853,2401,18,True,True,True,9
385809000,-142142,2401,18,True,True,True,9
385819000,-137428,2401,18,True,True,True,9
385829000,-132715,2401,18,True,True,True,9
385839000,-128001,2401,18,True,True,True,9
385849000,-123285,2401,18,True,True,True,9
385859000,-118568,2401,18,True,True,True,10
385869000,-113850,2401,18,True,True,True,10
385879000,-109135,2401,18,True,True,True,10
385889000,-104422,2401,18,True,True,True,10
385899000,-99706,2401,18,True,True,True,10
385909000,-94989,2401,18,True,True,True,11
385919000,-90271,2401,18,True,True,True,10
385929000,-85553,2401,18,True,True,True,10
385939000,-80833,2401,18,True,True,True,9
385949000,-76112,2401,18,True,True,True,9
385959000,-71393,2401,18,True,True,True,9
385969000,-66671,2401,18,True,True,True,9
385979000,-61949,2401,18,True,True,True,9
385989000,-57227,2401,18,True,True,True,8
385999000,-52506,2401,18,True,True,True,8
